tier,actual_rps,p50_ms,p99_ms,success_pct
1000,1000.1690,30.3,174.9,100.00
2000,2000.0646,62.0,192.3,100.00
5000,4998.9958,66.4,175.3,100.00
10000,9998.3381,74.0,162.6,100.00
20000,19995.5267,92.1,199.5,100.00
40000,39994.0357,136.2,364.4,100.00
